,red,green,blue
0,43.94392656349386,42.27237571659933,88.83293420145739
1,147.0030964362873,175.5388873164181,356.50120224242795
2,50.26447212887854,124.1364389771468,492.07297851419304
3,37.11334386835995,82.98746455662416,90.60696730260041
4,77.5747786458556,146.2547400602683,643.6821891568163
5,98.60387512467793,305.8175653643979,601.0356228136876
6,161.46181781901714,84.45457643028429,83.31858426616296
7,29.20070637428555,75.97687573591487,523.7917607894295
8,112.22256252628226,56.547245190526645,202.67291888426647
9,25.532069697537224,32.9215506866147,226.87588606585396
10,133.74024876257516,269.3130744331076,134.42418800051303
11,199.881248007836,168.9329436791518,112.5246938219487
12,13.410054269078548,38.722316429030876,412.11904807453783
13,51.68719353814041,171.80900247487824,120.79963125531418
14,80.17061156716491,26.274012825699902,76.10852337944276
15,239.19796556898996,295.510732620744,110.20916743615012
16,101.68006140422094,70.35660086522205,447.58470890696424
17,30.266555243063014,164.92660314331079,533.0890770003657
18,292.9066161215748,511.11136397567174,1294.1285588662925
19,193.1615741834248,335.38912797727306,877.860877681773
20,118.29973145030503,205.88895009804284,549.0814105964935
21,67.06562232738544,116.72812837993737,314.8797353414689
22,30.33704746499995,53.52103562844394,147.2090443345385
23,10.895457695160202,19.535889571628203,55.25842142662851
